sveitarfel,year,property_type,total_price,total_area,average_price_per_sqm
Akraneskaupstaður,2023,Bílskúr/skúr,14000,61,229.50819672131146
Akraneskaupstaður,2023,Einbýli,556250,1193,466.2615255658005
Akraneskaupstaður,2023,Fjölbýli,1052200,2102,500.5708848715509
Akraneskaupstaður,2024,Atvinnuhúsnæði,58500,163,358.8957055214724
Akraneskaupstaður,2024,Bílskúr/skúr,10100,33,306.06060606060606
Akraneskaupstaður,2024,Einbýli,1034350,2136,484.24625468164794
Akraneskaupstaður,2024,Fjölbýli,554600,970,571.7525773195877
Akraneskaupstaður,2024,Sérbýli,119900,191,627.7486910994764
Akureyrarbær,2006,Atvinnuhúsnæði,36000,161,223.6024844720497
Akureyrarbær,2006,Fjölbýli,135667,637,212.97802197802199
Akureyrarbær,2006,Sérbýli,44400,220,201.8181818181818
Akureyrarbær,2007,Einbýli,101000,432,233.7962962962963
Akureyrarbær,2007,Fjölbýli,139150,651,213.74807987711213
Akureyrarbær,2007,Sérbýli,35000,171,204.6783625730994
Akureyrarbær,2008,Einbýli,163560,769,212.69180754226267
Akureyrarbær,2008,Fjölbýli,199600,882,226.30385487528343
Akureyrarbær,2009,Einbýli,80200,372,215.59139784946237
Akureyrarbær,2009,Fjölbýli,127850,569,224.69244288224957
Akureyrarbær,2010,Einbýli,51080,233,219.2274678111588
Akureyrarbær,2010,Fjölbýli,197170,919,214.54842219804135
Akureyrarbær,2010,Sumarhús,22000,78,282.05128205128204
Akureyrarbær,2010,Sérbýli,78759,341,230.96480938416423
Akureyrarbær,2011,Einbýli,30000,144,208.33333333333334
Akureyrarbær,2011,Fjölbýli,260082,1148,226.55226480836237
Akureyrarbær,2011,Sérbýli,266000,1207,220.3811101905551
Akureyrarbær,2012,Einbýli,142200,630,225.71428571428572
Akureyrarbær,2012,Fjölbýli,429245,1886,227.59544008483564
Akureyrarbær,2012,Sumarhús,28500,82,347.5609756097561
Akureyrarbær,2012,Sérbýli,173973,738,235.7357723577236
Akureyrarbær,2013,Einbýli,334050,1389,240.49676025917927
Akureyrarbær,2013,Fjölbýli,232790,1028,226.44941634241246
Akureyrarbær,2013,Sérbýli,285000,1266,225.11848341232226
Akureyrarbær,2014,Atvinnuhúsnæði,38000,170,223.52941176470588
Akureyrarbær,2014,Einbýli,311100,1365,227.9120879120879
Akureyrarbær,2014,Fjölbýli,299144,1168,256.1164383561644
Akureyrarbær,2014,Sérbýli,325200,1334,243.77811094452773
Akureyrarbær,2015,Atvinnuhúsnæði,8900,40,222.5
Akureyrarbær,2015,Bílskúr/skúr,27500,103,266.99029126213594
Akureyrarbær,2015,Einbýli,485375,2140,226.8107476635514
